"Name","Type","Uncompressed Size (B)","Compressed Size (B)","Ratio (%)","Last Modified"
"Spireason/","Directory","0","0","0","2024-02-15T06:33:12.000Z"
"Spireason/Principles of Material Magic – short version.odt","File","47249","45708","3","2024-03-25T09:42:30.000Z"
"Spireason/The Power of Negative Thinking.odt","File","74455","73037","2","2024-03-29T19:33:38.000Z"
"Spireason/Tuning into Material Reality.odt","File","59152","57784","2","2024-04-03T13:01:06.000Z"
"Spireason/Tuning into Material Reality.pdf","File","58099","53793","7","2024-04-03T13:01:16.000Z"
"Spireason/The Power of Negative Thinking.pdf","File","97099","86963","10","2024-03-29T19:33:50.000Z"
"Spireason/The Material Laws of Truth.odt","File","56849","55481","2","2024-04-02T17:03:44.000Z"
"Spireason/Yin and Yang in Meditation.odt","File","55836","54402","3","2024-04-04T09:06:10.000Z"
"Spireason/Yin and Yang in Meditation.pdf","File","70690","65153","8","2024-04-04T09:06:24.000Z"
"Spireason/Comparison of, mostly, Buddhism and Christianity.odt","File","60141","58756","2","2024-04-02T22:09:52.000Z"
"Spireason/Comparison of, mostly, Buddhism and Christianity.pdf","File","57078","52479","8","2024-04-02T22:10:02.000Z"
"Spireason/The Material Laws of Truth.pdf","File","43704","40070","8","2024-04-02T17:03:56.000Z"
"Spireason/Reddit post Yinyang of Meditation.odt","File","70899","69613","2","2024-04-04T12:00:50.000Z"
"Spireason/Truth Value Tables, Matter and Mind.pdf","File","49698","45416","9","2024-03-11T17:53:58.000Z"
"Spireason/Reincarnation Basics.pdf","File","47590","43469","9","2024-03-11T23:42:42.000Z"
"Spireason/Frequential Analysis of System of Chakras in Buddhism.odt","File","74808","73389","2","2024-03-18T10:17:10.000Z"
"Spireason/Karma.pdf","File","120995","110982","8","2024-03-07T01:29:24.000Z"
"Spireason/Karma and Material Meditation.odt","File","65331","63992","2","2024-03-15T09:37:32.000Z"
"Spireason/Karma and Material Meditation.pdf","File","64951","59666","8","2024-03-15T09:38:38.000Z"
"Spireason/Skepticism and Science for Spiritual People.odt","File","65900","64541","2","2024-04-01T11:57:08.000Z"
"Spireason/Evolution.pdf","File","86658","79956","8","2024-03-07T01:28:44.000Z"
"Spireason/Holy War.odt","File","67838","66421","2","2024-03-20T20:56:44.000Z"
"Spireason/Holy War.pdf","File","75326","69137","8","2024-03-20T20:56:56.000Z"
"Spireason/Simply about Infinities.pdf","File","101909","90435","11","2024-03-20T11:58:46.000Z"
"Spireason/Short Text about what I say about Positive and Negative.odt","File","58469","57140","2","2024-04-01T13:33:20.000Z"
"Spireason/Short Text about what I say about Positive and Negative.pdf","File","38360","35030","9","2024-04-01T13:33:32.000Z"
"Spireason/Principles of Material Magic.odt","File","70250","68699","2","2024-03-23T11:07:04.000Z"
"Spireason/Principles of Material Magic.pdf","File","88372","79983","9","2024-03-23T11:38:24.000Z"
"Spireason/The Law of Imperfection and Karma.odt","File","57629","56251","2","2024-03-31T19:02:48.000Z"
"Spireason/Logecs and E factor – what is bad in positive affirmations?.odt","File","63308","61613","3","2024-04-01T07:58:14.000Z"
"Spireason/Magic as Mental Image.odt","File","62878","61572","2","2024-03-16T18:47:40.000Z"
"Spireason/Magic as Mental Image.pdf","File","66745","61596","8","2024-03-16T18:47:54.000Z"
"Spireason/Frequential Analysis of System of Chakras in Buddhism.pdf","File","107969","100185","7","2024-03-18T10:17:22.000Z"
"Spireason/Meditation and Position.pdf","File","52175","48340","7","2024-03-10T16:46:54.000Z"
"Spireason/The Simpler Theorem of Karma.pdf","File","63607","58493","8","2024-03-12T08:04:22.000Z"
"Spireason/One Short Theory about Star Children.pdf","File","27367","25580","7","2024-03-31T19:35:06.000Z"
"Spireason/The Law of Imperfection and Karma.pdf","File","67632","62135","8","2024-03-31T19:05:18.000Z"
"Spireason/One Short Theory about Star Children.odt","File","57782","56486","2","2024-03-31T19:34:56.000Z"
"Spireason/Principles of Material Magic – short version.pdf","File","57719","50882","12","2024-03-25T09:42:44.000Z"
"Spireason/Logecs and E factor – what is bad in positive affirmations?.pdf","File","120603","110563","8","2024-04-01T07:58:26.000Z"
"Spireason/Skepticism and Science for Spiritual People.pdf","File","86977","78357","10","2024-04-01T11:57:16.000Z"
"Spireason/Healthy Conflict Psychology.odt","File","60645","59344","2","2024-04-05T14:08:40.000Z"
"Spireason/Healthy Conflict Psychology.pdf","File","30742","28682","7","2024-04-05T14:08:50.000Z"
"Spireason/Programming Matters.odt","File","122263","116721","5","2024-02-15T06:27:50.000Z"
"Spireason/Programming Matters.pdf","File","364323","323404","11","2024-02-15T06:33:06.000Z"